text,font_size,is_bold,is_italic,relative_font_size,x_position_normalized,is_centered,space_below,text_length,is_all_caps,starts_with_numbering,line_height,span_count,label
"Application form for grant of LTC advance",14.0,1,0,1.4,0.273,0,19.0,40,0,0,14.0,1,Title
"I declare that the particulars furnished above are true and correct to the best of my knowledge.",12.0,0,0,1.2,0.091,0,13.0,95,0,0,12.0,1,Body
"undertake to produce the tickets for the outward journey within ten days of receipt of the advance.",12.0,0,0,1.2,0.091,0,12.0,99,0,0,12.0,1,Body
"In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of",12.0,0,0,1.2,0.091,0,12.0,120,0,0,12.0,2,Body
"advance, I undertake to refund the entire advance in one lump sum.",12.0,0,0,1.2,0.091,0,29.0,70,0,0,12.0,1,Body
"Date",12.0,0,0,1.2,0.091,0,29.0,4,0,0,12.0,1,Body
"Signature of Government Servant.",12.0,0,0,1.2,0.731,0,0.0,32,0,0,12.0,1,Body
"Overview",28.0,1,0,2.8,0.375,1,16.0,8,0,0,28.0,1,Title
"Foundation Level Extensions",28.0,1,0,2.8,0.218,0,32.0,27,0,0,28.0,1,H1
"Version 1.0",12.0,0,0,1.2,0.443,1,348.0,11,0,0,12.0,1,Body
"International Software Testing Qualifications Board",14.0,0,0,1.4,0.252,0,51.0,51,0,0,14.0,1,Body
"Copyright Notice",12.0,1,0,1.2,0.425,1,14.0,16,0,0,12.0,1,Body
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",10.0,0,0,1.0,0.252,0,0.0,95,0,0,10.0,1,Body
"Revision History",18.0,1,0,1.8,0.41,1,31.0,16,0,0,18.0,1,H1
"Table of Contents",18.0,1,0,1.8,0.403,1,192.0,17,0,0,18.0,1,H1
"Acknowledgements",14.0,1,0,1.4,0.41,1,14.0,16,0,0,14.0,1,H1
"1. Introduction to the Foundation Level Extensions",14.0,1,0,1.4,0.207,0,13.0,51,0,1,14.0,1,H1
"2. Introduction to Foundation Level Agile Tester Extension",14.0,1,0,1.4,0.207,0,28.0,59,0,1,14.0,1,H1
"2.1 Intended Audience",12.0,1,0,1.2,0.207,0,28.0,20,0,1,12.0,1,H2
"2.2 Career Paths for Testers",12.0,1,0,1.2,0.207,0,27.0,28,0,1,12.0,1,H2
"2.3 Learning Objectives",12.0,1,0,1.2,0.207,0,72.0,22,0,1,12.0,1,H2
"2.4 Entry Requirements",12.0,1,0,1.2,0.207,0,14.0,20,0,1,12.0,1,H2
"2.5 Structure and Course Duration",12.0,1,0,1.2,0.207,0,41.0,32,0,1,12.0,1,H2
"2.6 Keeping It Current",12.0,1,0,1.2,0.207,0,28.0,21,0,1,12.0,1,H2
